adapter,error,extra_backend,extra_bits,extra_builtin_request_fallback,extra_env,extra_family,extra_h2o_cache_budget,extra_h2o_heavy_ratio,extra_h2o_heavy_size,extra_h2o_kept_tokens,extra_h2o_mask_events,extra_h2o_prompt_tokens,extra_h2o_prune_events,extra_h2o_recent_ratio,extra_h2o_recent_size,extra_kivi_effective_mode,extra_kivi_group_size,extra_kivi_kernel_calls,extra_kivi_quantization_triggered,extra_kivi_quantize_calls,extra_kivi_quantized_layers,extra_kivi_quantized_tokens,extra_kivi_residual_length,extra_max_new_tokens,extra_metric_em,extra_metric_f1,extra_metric_rouge_l,extra_model,extra_profile_note,extra_prompt_tokens,extra_reference,extra_request_source,extra_stage_decode_ms,extra_stage_first_token_ms,extra_stage_generate_ms,extra_stage_model_load_ms,extra_stage_prefill_ms,extra_stage_startup_ms,extra_stage_tokenize_ms,extra_stage_total_ms,extra_stage_transfer_ms,extra_ttft_semantics,extra_worker_mode,kv_cache_memory_mib,latency_ms,length_bucket,measured,ok,output_text,peak_memory_mib,profile,quality_loss,quality_score,request_id,resident_memory_mib,split,task,ttft_ms
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,,Ground truth is not established in the paper,zai-org/LongBench,0.0,2900.3800563514233,3459.2966325581074,16514.774847775698,2888.22403550148,47.73285612463951,11.683739721775055,3471.834074705839,0.24894997477531433,first_token,batch,66.609375,3471.834074705839,long,True,True, The ground truth for fake news in the study is established through a dataset that was,5035.65283203125,full_gpu,0.0,1.0,longbench_qasper_000000,8623.44140625,calibration,qa_long_context,2900.3800563514233
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,,Former Premier League footballer Sam Sodje has appeared in court alongside three brothers accused of charity fraud.,EdinburghNLP/xsum,0.0,87.22395077347755,656.4718037843704,16514.774847775698,85.82259342074394,47.73285612463951,1.198742538690567,658.3357788622379,0.09884312748908997,first_token,batch,8.4765625,658.3357788622379,medium,True,True," Four brothers, including a former footballer, have denied fraud charges in relation to",4369.31396484375,full_gpu,0.0,1.0,xsum_000000,8623.44140625,calibration,summary,87.22395077347755
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,,Two teenagers have been charged in connection with an incident in west Belfast in which a car collided with two police vehicles.,EdinburghNLP/xsum,0.0,63.72934952378273,624.9871402978897,16514.774847775698,62.65712529420853,47.73285612463951,0.8693896234035492,626.4766529202461,0.09354948997497559,first_token,batch,5.359375,626.4766529202461,short,True,True, Two teenagers have been charged in connection with a crash involving a stolen car which left,4333.90966796875,full_gpu,0.0,1.0,xsum_000004,8623.44140625,calibration,summary,63.72934952378273
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,,Labour leadership hopefuls Liz Kendall and Yvette Cooper have said their supporters should back anyone other than Jeremy Corbyn in the contest.,EdinburghNLP/xsum,0.0,474.1312824189663,1038.458414375782,16514.774847775698,468.1575708091259,47.73285612463951,5.623538047075272,1044.8144674301147,0.173322856426239,first_token,batch,55.234375,1044.8144674301147,long,True,True, Labour leadership contenders have urged supporters to vote tactically in the party's contest to,4900.37451171875,full_gpu,0.0,1.0,xsum_000009,8623.44140625,calibration,summary,474.1312824189663
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,,"David Cameron is facing Labour calls to apologise for calling refugees at a camp in Calais ""a bunch of migrants"" at Prime Minister's Questions.",EdinburghNLP/xsum,0.0,725.2447344362736,1283.3066992461681,16514.774847775698,715.5922241508961,47.73285612463951,9.343050420284271,1293.338730931282,0.18817931413650513,first_token,batch,96.0859375,1293.338730931282,xl,True,True, Prime Minister David Cameron has faced criticism after he said Labour leader Jeremy Corbyn had told,5371.27685546875,full_gpu,0.0,1.0,xsum_000071,8623.44140625,calibration,summary,725.2447344362736
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,,"extension of the NetVLAD, adds Ghost clusters along with the NetVLAD clusters",zai-org/LongBench,0.0,519.1059187054634,1082.0749439299107,16514.774847775698,513.7358605861664,47.73285612463951,5.1102302968502045,1088.0071558058262,0.15597045421600342,first_token,batch,70.21875,1088.0071558058262,long,True,True, The GhostVLAD approach is a pooling strategy inspired by the work on face recognition,5075.72802734375,full_gpu,0.0,1.0,longbench_qasper_000001,8623.44140625,calibration,qa_long_context,519.1059187054634
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,,Middlesex batsman Adam Voges will be out until August after suffering a torn calf muscle in his right leg.,EdinburghNLP/xsum,0.0,114.3774501979351,678.0951097607613,16514.774847775698,112.57928237318993,47.73285612463951,1.5905089676380157,680.266447365284,0.10477006435394287,first_token,batch,13.6171875,680.266447365284,medium,True,True, Middlesex have ruled out Australia batsman Adam Voges for the rest of the,4429.48583984375,full_gpu,0.0,1.0,xsum_000001,8623.44140625,calibration,summary,114.3774501979351
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,,A pedestrian has been struck by a taxi in Dundee after it mounted the pavement.,EdinburghNLP/xsum,0.0,63.65330517292023,625.2781860530376,16514.774847775698,62.79877945780754,47.73285612463951,0.6692744791507721,626.6070492565632,0.09024888277053833,first_token,batch,4.921875,626.6070492565632,short,True,True, A 21-year-old man has been seriously injured after being hit by a,4329.43505859375,full_gpu,0.0,1.0,xsum_000005,8623.44140625,calibration,summary,63.65330517292023
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,,"Head teachers say they are axing GCSE and A-level subjects, increasing class sizes and cutting support services as they struggle with school funding.",EdinburghNLP/xsum,0.0,336.80955320596695,899.1450481116772,16514.774847775698,332.9489640891552,47.73285612463951,3.407839685678482,903.4801982343197,0.12195482850074768,first_token,batch,37.0234375,903.4801982343197,long,True,True," School leaders are warning that cuts to budgets are leading to a ""bare bones education",4693.54052734375,full_gpu,0.0,1.0,xsum_000010,8623.44140625,calibration,summary,336.80955320596695
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,,Liverpool and Manchester United played out a goalless and uneventful stalemate on a disappointing night at Anfield.,EdinburghNLP/xsum,0.0,804.34550344944,1344.4753997027874,16514.774847775698,788.4605638682842,47.73285612463951,15.406515449285507,1360.808428376913,0.26650726795196533,first_token,batch,100.4609375,1360.808428376913,xl,True,True, Liverpool were held to a goalless draw by Manchester United at Anfield in a,5419.32568359375,full_gpu,0.0,1.0,xsum_000087,8623.44140625,calibration,summary,804.34550344944
